id,backfilled,base_score,computed_at,game_id,importance_multiplier,inning,inning_type,play_order,pregame_bonus,signal_contributions,source,tags,watch_score
54,f,15,2026-07-12 21:09:10.614683+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
55,f,15,2026-07-12 21:10:10.823808+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
56,f,3,2026-07-12 21:10:34.899506+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 3.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",3
57,f,3,2026-07-12 21:13:10.738342+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 3.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",3
58,f,3,2026-07-12 21:14:10.210176+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 3.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",3
59,f,3,2026-07-12 21:15:10.505361+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 3.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",3
60,f,3,2026-07-12 21:15:35.142636+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 3.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",3
61,f,3,2026-07-12 21:17:10.587822+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 3.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",3
62,f,3,2026-07-12 21:18:10.399538+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 3.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",3
63,f,3,2026-07-12 21:19:09.986146+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 3.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",3
64,f,3,2026-07-12 21:20:12.051998+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 3.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",3
65,f,3,2026-07-12 21:20:35.083029+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 3.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",3
66,f,3,2026-07-12 21:21:10.569636+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 3.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",3
67,f,3,2026-07-12 21:23:09.417244+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 3.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",3
68,f,3,2026-07-12 21:24:09.478703+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 3.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",3
69,f,3,2026-07-12 21:25:09.767914+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 3.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",3
70,f,3,2026-07-12 21:28:10.002096+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 3.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",3
71,f,3,2026-07-12 21:29:09.29131+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 3.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",3
72,f,3,2026-07-12 21:30:09.418273+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 3.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",3
73,f,3,2026-07-12 21:33:10.286646+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 3.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",3
74,f,3,2026-07-12 21:34:09.734717+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 3.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",3
75,f,3,2026-07-12 21:35:09.803856+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 3.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",3
76,f,3,2026-07-12 21:35:34.944011+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 3.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",3
77,f,9,2026-07-12 21:37:09.254188+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 9.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",9
78,f,9,2026-07-12 21:38:09.809+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 9.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",9
79,f,9,2026-07-12 21:39:09.685674+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 9.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",9
